Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,115.25,116.08,112.65,114.34,5374869,
2025-01-13,110.12,113.06,109.0924,112.64,5380339,
2025-01-14,114.435,115.2,112.78,114.91,6419499,
2025-01-15,116.59,117.25,115.07,116.1,7187896,
2025-01-16,117.32,119.89,116.38,118.13,6224666,
2025-01-17,119.9,120.98,118.69,119.95,5812909,
2025-01-21,121.78,121.92,119.5001,121.5,6366606,
2025-01-22,125.2,131.1793,125.2,129.82,9751404,
2025-01-23,128.34,129.26,126.72,129.12,5866770,
2025-01-24,133.31,133.575,128.4,129.17,7969105,
2025-01-27,109.62,112.27,97.6801,100.3,33282631,
2025-01-28,105.25,106.7,99.68,106.54,20683569,
2025-01-29,108.35,110.45,106.62,107.84,13131733,
2025-01-30,115.06,116.99,112.35,113.86,12583827,
2025-01-31,115.4,118.34,113.3114,115.23,10358850,
2025-02-03,109.4,113.7,108.8,111.5,10210908,
2025-02-04,113.0,113.1,109.04,112.32,6112775,
2025-02-05,114.725,115.89,112.93,115.49,6427395,
2025-02-06,116.88,117.22,113.97,115.27,5434054,
2025-02-07,116.85,120.32,116.51,118.47,8744112,
2025-02-10,120.0,121.01,118.673,120.23,5122541,
2025-02-11,117.9,119.29,115.67,116.84,5748759,
2025-02-12,110.9,114.04,108.9,109.64,13595125,
2025-02-13,110.53,111.47,108.65,109.75,9614201,
2025-02-14,109.05,109.05,106.32,106.87,12230818,
2025-02-18,109.1,112.12,108.25,111.06,20867664,
2025-02-19,104.5,105.87,101.62,103.92,24011874,
2025-02-20,104.7,104.91,99.82,103.4,11659622,
2025-02-21,104.15,104.6,98.17,98.3,13999618,
2025-02-24,94.05,98.1074,91.65,92.69,23489766,
2025-02-25,90.06,93.6,89.35,92.88,17287300,
2025-02-26,95.755,97.74,94.5301,96.38,11272304,
2025-02-27,97.93,98.09,91.39,91.57,11569971,
2025-02-28,90.97,93.18,90.35,93.05,12439433,
2025-03-03,93.07,93.07,84.85,86.01,14681157,
2025-03-04,82.79,86.95,81.45,85.52,17937707,
2025-03-05,87.94,88.39,85.37,87.82,10270949,
2025-03-06,83.86,86.53,83.3,84.34,9461944,
2025-03-07,85.8,86.43,80.21,83.36,12894424,
2025-03-10,79.84,80.58,76.0,77.56,15811707,
2025-03-11,77.45,81.14,76.71,79.13,11291147,
2025-03-12,82.26,83.0,79.34,80.25,11498040,
2025-03-13,79.79,80.76,78.47,80.14,6973758,
2025-03-14,82.0,84.25,81.8,83.51,8580088,
2025-03-17,84.0,85.74,83.77,85.09,6639566,
2025-03-18,83.56,84.84,83.23,83.99,9528689,
2025-03-19,84.1425,85.0,82.35,84.42,10323034,
2025-03-20,83.14,84.58,82.81,82.97,7534437,
2025-03-21,81.785,83.84,80.75,83.13,10786487,
2025-03-24,85.31,87.64,85.31,87.51,10403087,
2025-03-25,87.51,88.3685,86.66,86.94,7780229,
2025-03-26,85.5868,86.035,80.01,81.66,14170348,
2025-03-27,80.25,81.05,78.0,78.96,12678587,
2025-03-28,79.51,80.23,77.07,77.94,9783815,
2025-03-31,75.22,77.6799,74.53,77.48,10768101,
2025-04-01,77.03,78.55,75.9074,78.49,6956371,
2025-04-02,75.725,81.21,75.5,80.16,7163660,
2025-04-03,73.22,75.55,71.14,71.27,19579727,
2025-04-04,67.52,68.8,62.42,64.37,21792430,
2025-04-07,59.8,70.69,59.43,68.17,20012613,
2025-04-08,72.65,74.46,67.785,69.5,21129669,
2025-04-09,69.0,77.65,68.59,76.0,22451430,
2025-04-10,73.75,74.5,69.89,72.65,12227017,
2025-04-11,72.38,73.8,70.62,72.67,11227339,
2025-04-14,76.5,76.78,73.18,73.59,10648363,
2025-04-15,73.17,74.01,72.41,73.2,9119544,
2025-04-16,69.125,73.1342,69.125,71.87,8003052,
2025-04-17,72.51,72.51,70.41,71.2,8567075,
2025-04-21,68.68,69.3,66.59,67.67,9472762,
2025-04-22,67.67,69.26,67.16,68.67,8795177,
2025-04-23,73.395,73.64,70.36,70.76,11589108,
2025-04-24,71.7,75.98,71.56,75.29,11771953,
2025-04-25,76.5,79.0,76.0101,77.91,12462739,
2025-04-28,77.0,79.25,76.88,78.31,7531848,
2025-04-29,79.405,81.11,78.85,80.73,11766711,
2025-04-30,78.07,82.555,77.7201,82.27,12433023,
2025-05-01,87.77,89.34,86.37,87.84,16458022,
2025-05-02,89.1,92.02,89.09,91.02,11102159,
2025-05-05,89.44,91.57,89.44,90.38,7358585,
2025-05-06,87.42,92.12,87.04,90.77,14475277,
2025-05-07,85.88,87.38,82.8,86.45,17850773,
2025-05-08,87.72,88.69,86.62,87.27,9722065,
2025-05-09,88.0,88.49,85.37,86.52,8270886,
2025-05-12,92.71,92.87,90.36,92.32,9793636,
2025-05-13,92.53,97.85,92.26,97.25,12100753,
2025-05-14,99.15,99.47,96.4212,98.22,11725411,
2025-05-15,95.05,96.42,94.54,96.07,8292120,
2025-05-16,96.775,96.78,95.36,96.42,5900043,
2025-05-19,94.43,96.9,93.6141,96.7,6161695,
2025-05-20,95.75,95.97,94.68,95.67,5882777,
2025-05-21,92.77,95.41,92.195,92.43,8339530,
2025-05-22,92.355,93.44,91.4,92.56,5523389,
2025-05-23,90.0,91.63,89.54,91.2,7452452,
2025-05-27,92.9,93.1124,91.89,92.49,7884057,
2025-05-28,93.09,93.545,92.325,92.79,5570937,
2025-05-29,90.7,90.7,86.26,86.37,17927415,
2025-05-30,85.5803,86.7,83.858,86.64,16492775,
2025-06-02,86.3,89.82,86.275,89.78,9415030,
2025-06-03,90.32,94.91,90.02,94.5,12112679,
2025-06-04,94.77,96.3597,94.67,94.94,9528017,
2025-06-05,95.65,96.555,94.29,95.18,7953288,
2025-06-06,96.25,97.63,95.26,97.25,6622759,
2025-06-09,97.98,98.825,96.77,96.8,8000699,
2025-06-10,97.26,97.4712,92.25,93.7,8785670,
2025-06-11,92.725,94.38,91.25,94.21,9307527,
2025-06-12,94.35,97.43,94.2201,95.77,8765676,
2025-06-13,94.49,94.94,92.12,92.35,6217252,
2025-06-16,92.775,95.34,92.525,95.09,7734746,
2025-06-17,94.39,94.6984,89.54,89.68,11797593,
2025-06-18,89.88,91.4738,89.0,90.24,9164141,
2025-06-20,91.0,91.2299,85.775,86.25,18552840,
2025-06-23,86.44,92.38,85.58,91.95,16233991,
2025-06-24,94.11,95.12,92.7,94.97,11279786,
2025-06-25,95.64,96.66,94.5,96.31,7883485,
2025-06-26,97.33,102.12,97.33,101.59,15262429,
2025-06-27,101.65,102.25,98.88,99.39,10396072,
2025-06-30,101.95,103.1319,101.0,102.31,12519465,
2025-07-01,102.3,102.72,97.3501,98.91,8685478,
2025-07-02,97.8064,101.21,97.14,101.13,8326306,
2025-07-03,101.475,103.5,101.3,102.52,5296699,
2025-07-07,101.8,102.21,100.33,101.47,6245050,
2025-07-08,103.0,103.6698,100.945,103.39,7297034,
2025-07-09,103.83,107.32,103.6366,106.28,14511717,
2025-07-10,106.21,106.55,102.6776,106.29,9378567,
2025-07-11,105.91,109.45,105.68,108.57,12954506,
2025-07-14,108.225,109.89,106.25,108.37,8871046,
2025-07-15,108.5,109.2,106.3501,107.37,7456394,
2025-07-16,107.25,108.57,104.681,108.3,6383987,
2025-07-17,108.75,112.55,108.22,111.98,8587107,
2025-07-18,112.61,112.69,110.88,111.78,6007551,
2025-07-21,111.85,113.04,110.62,111.61,6686762,
2025-07-22,111.59,111.61,106.987,109.78,7779747,
2025-07-23,111.305,113.39,111.0,113.04,7428892,
2025-07-24,113.96,114.6,112.8,114.04,5370206,
2025-07-25,113.75,115.1,113.5541,114.28,4868105,
2025-07-28,115.0,117.87,114.83,117.55,9431499,
2025-07-29,118.0,119.86,117.31,118.62,9916665,
2025-07-30,119.625,123.1,119.6,122.09,9861663,
2025-07-31,124.3,125.81,121.3461,123.22,16040899,
2025-08-01,118.05,118.775,115.41,117.57,11560575,
2025-08-04,117.625,120.69,117.55,120.35,9524055,
2025-08-05,120.95,121.5,116.66,118.12,14691124,
2025-08-06,133.79,139.53,133.565,138.78,25997080,
2025-08-07,139.2,141.01,135.54,139.28,11165778,
2025-08-08,139.4998,140.55,136.93,139.18,9767673,
2025-08-11,138.0,141.745,137.0135,137.65,7837845,
2025-08-12,138.545,141.45,138.2,141.25,7460900,
2025-08-13,141.27,141.99,136.01,138.01,9178094,
2025-08-14,136.35,137.67,132.45,136.48,7285521,
2025-08-15,136.3,138.545,134.83,137.3,6056304,
2025-08-18,136.5,138.165,134.76,138.04,5098228,
2025-08-19,137.3,137.62,131.91,132.78,9630349,
2025-08-20,130.55,132.119,127.58,131.47,9449827,
2025-08-21,130.67,132.16,129.33,132.03,5873702,
2025-08-22,130.35,135.0,129.36,133.25,7362082,
2025-08-25,133.54,133.77,130.33,133.04,5341214,
2025-08-26,132.79,134.9402,132.21,134.27,7242096,
2025-08-27,134.27,134.96,132.688,133.27,6271568,
2025-08-28,131.13,136.835,130.35,136.23,8372464,
2025-08-29,135.51,137.671,134.48,136.55,7959576,
2025-09-02,132.4525,136.605,131.0,135.87,7415192,
2025-09-03,135.685,137.91,134.8574,137.38,6840090,
2025-09-04,138.92,142.5,138.73,141.17,8365002,
2025-09-05,144.13,145.46,140.25,142.85,9567530,
2025-09-08,143.84,144.1,139.84,140.01,7925545,
2025-09-09,140.97,142.8814,139.51,141.91,6158540,
2025-09-10,145.56,151.71,144.9,150.72,19772546,
2025-09-11,152.19,156.32,150.36,153.04,13666202,
2025-09-12,149.15,149.47,139.02,139.39,17920366,
2025-09-15,139.68,146.9,139.17,145.43,12140824,
2025-09-16,145.62,147.37,141.0,142.16,9382392,
2025-09-17,142.635,143.425,138.5,142.84,8295409,
2025-09-18,144.0,146.7199,143.425,146.66,6938977,
2025-09-19,149.075,150.25,146.67,149.61,17810916,
2025-09-22,148.41,149.71,145.055,145.4,8675204,
2025-09-23,144.86,147.46,143.02,144.09,8215500,
2025-09-24,144.65,144.68,141.29,142.64,7035668,
2025-09-25,141.69,143.24,139.23,143.06,6325288,
2025-09-26,144.2,144.4,140.76,142.5,4867696,
2025-09-29,145.05,147.8,142.62,143.37,6183567,
2025-09-30,143.88,145.84,143.16,145.71,5828944,
2025-10-01,144.65,149.95,143.02,149.27,7820686,
2025-10-02,149.8249,150.54,141.25,144.46,9473784,
2025-10-03,146.055,149.09,144.1,145.5,7178623,
2025-10-06,151.6,153.73,149.5,149.5,7277578,
2025-10-07,150.984,151.55,143.28,145.29,7348652,
2025-10-08,147.405,158.51,147.405,157.36,11283444,
2025-10-09,156.225,159.8,154.6014,158.23,8459919,
2025-10-10,159.86,162.68,153.74,154.1,10459279,
2025-10-13,161.0,162.0,145.09,147.45,14233870,
2025-10-14,142.985,143.02,136.7901,138.79,13672418,
2025-10-15,140.11,145.39,140.11,143.38,8686963,
2025-10-16,144.9,147.65,143.8601,146.01,6909486,
2025-10-17,143.01,144.5,139.24,143.1,6533933,
2025-10-20,146.325,149.88,146.19,146.48,6120657,
2025-10-21,145.625,147.61,144.14,145.94,3648908,
2025-10-22,145.865,147.49,141.68,146.59,7349169,
2025-10-23,147.0,153.95,146.64,152.76,7327398,
2025-10-24,155.0,155.83,152.2972,153.82,5170784,
2025-10-27,157.33,157.7,155.01,156.81,5509109,
