Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,24.25,24.47,23.63,23.68,5845578.0,
2025-01-13,24.03,24.8575,23.8809,24.38,7030713.0,
2025-01-14,24.22,25.04,24.14,24.85,6654640.0,
2025-01-15,25.07,25.71,24.93,25.45,8306837.0,
2025-01-16,25.27,25.825,24.98,25.15,6157850.0,
2025-01-17,25.27,25.27,24.19,24.4,9424739.0,
2025-01-21,23.99,24.1993,23.62,23.7,7740033.0,
2025-01-22,23.17,23.845,23.12,23.36,5795009.0,
2025-01-23,23.63,24.33,23.32,23.51,8147922.0,
2025-01-24,23.58,23.88,23.23,23.32,5964370.0,
2025-01-27,23.46,24.14,23.2,23.38,6908110.0,
2025-01-28,23.5,23.69,22.9,23.34,5280247.0,
2025-01-29,23.12,23.32,22.96,23.18,4100881.0,
2025-01-30,23.37,23.479,22.82,22.99,4691971.0,
2025-01-31,22.76,22.92,21.9,21.93,14812399.0,
2025-02-03,21.82,21.915,21.1901,21.47,6867787.0,
2025-02-04,21.15,22.5068,21.15,22.39,5965605.0,
2025-02-05,22.32,22.45,22.1,22.19,4278992.0,
2025-02-06,22.39,22.48,21.38,21.64,5241610.0,
2025-02-07,21.81,21.89,21.56,21.67,4885446.0,
2025-02-10,21.98,23.04,21.9,22.99,5790916.0,
2025-02-11,23.16,23.765,23.16,23.31,6510163.0,
2025-02-12,23.06,23.29,22.2,22.37,7025255.0,
2025-02-13,22.375,22.53,22.1,22.49,6176622.0,
2025-02-14,22.645,23.375,22.565,23.14,7882729.0,
2025-02-18,23.35,23.83,22.94,23.57,7283274.0,
2025-02-19,23.61,23.98,23.3,23.59,6845481.0,
2025-02-20,23.39,23.63,22.99,23.62,6409730.0,
2025-02-21,23.46,23.5692,22.715,22.79,6792100.0,
2025-02-24,22.86,23.01,22.5,22.86,4984171.0,
2025-02-25,22.9,23.03,22.29,22.38,7521563.0,
2025-02-26,22.48,22.5,21.74,22.01,8710476.0,
2025-02-27,22.07,22.07,20.095,20.42,18477202.0,
2025-02-28,20.12,21.035,19.84,20.7,40477329.0,
2025-03-03,20.89,21.2,18.66,18.89,11672486.0,
2025-03-04,18.56,19.02,18.0,18.57,12287437.0,
2025-03-05,18.37,18.665,17.66,18.54,14018146.0,
2025-03-06,18.54,19.02,18.01,18.75,7805201.0,
2025-03-07,19.005,19.535,18.67,18.84,8204404.0,
2025-03-10,18.58,19.415,18.58,19.02,9266074.0,
2025-03-11,19.1,19.42,18.555,19.2,8408000.0,
2025-03-12,19.27,19.765,19.2267,19.65,6876207.0,
2025-03-13,19.504,19.915,18.78,19.04,5575426.0,
2025-03-14,19.25,19.65,19.1,19.61,5823857.0,
2025-03-17,19.71,20.19,19.71,20.03,7030641.0,
2025-03-18,20.25,20.375,19.705,20.17,5968656.0,
2025-03-19,20.2,21.035,20.165,20.81,8175726.0,
2025-03-20,20.65,20.885,20.435,20.57,5268722.0,
2025-03-21,20.4,20.64,20.23,20.61,12391875.0,
2025-03-24,20.66,21.12,20.58,20.84,4674435.0,
2025-03-25,21.04,21.28,20.74,20.89,5973217.0,
2025-03-26,21.12,21.49,21.005,21.1,5651414.0,
2025-03-27,21.12,21.325,20.83,21.2,4516164.0,
2025-03-28,21.18,21.23,20.71,20.92,6917460.0,
2025-03-31,20.69,21.12,20.575,21.02,5482474.0,
2025-04-01,20.94,21.195,20.67,21.13,5874987.0,
2025-04-02,20.85,21.3,20.73,21.24,6641325.0,
2025-04-03,19.76,19.78,17.67,17.74,12814180.0,
2025-04-04,16.88,16.99,14.86,15.18,19932758.0,
2025-04-07,14.845,16.03,14.365,14.96,16885278.0,
2025-04-08,15.44,15.54,13.725,14.03,13389926.0,
2025-04-09,13.72,16.92,13.584,16.71,16533010.0,
2025-04-10,15.71,15.828,14.1602,14.6,23757691.0,
2025-04-11,14.49,15.21,14.1,15.04,10997508.0,
2025-04-14,15.42,15.505,14.81,15.2,11485010.0,
2025-04-15,15.17,15.535,14.8101,14.89,11557171.0,
2025-04-16,14.945,15.74,14.835,15.37,8015035.0,
2025-04-17,15.66,16.27,15.62,16.11,7370512.0,
2025-04-21,15.63,15.675,15.15,15.5,7766838.0,
2025-04-22,15.65,16.105,15.51,15.86,7871421.0,
2025-04-23,16.13,16.595,15.405,15.65,14371548.0,
2025-04-24,15.965,16.335,15.71,16.26,6879752.0,
2025-04-25,16.03,16.545,16.03,16.35,4636975.0,
2025-04-28,16.36,16.65,16.3,16.55,4924533.0,
2025-04-29,16.22,16.47,15.99,16.24,5756165.0,
2025-04-30,16.01,16.01,15.3301,15.54,8149400.0,
2025-05-01,15.44,16.445,15.44,16.22,8845677.0,
2025-05-02,16.42,16.59,16.03,16.46,6773095.0,
2025-05-05,16.1,16.125,15.48,15.5,9148984.0,
2025-05-06,15.66,16.04,15.635,15.73,7390137.0,
2025-05-07,15.78,15.82,15.2001,15.48,8323751.0,
2025-05-08,15.91,16.37,15.59,16.18,12759019.0,
2025-05-09,16.5,16.99,16.31,16.72,7697088.0,
2025-05-12,17.9,18.28,17.57,17.71,8596738.0,
2025-05-13,17.78,18.73,17.7,18.46,8695246.0,
2025-05-14,18.25,18.45,18.05,18.17,8031372.0,
