Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,160.0,160.0,154.58,155.39,4502793.0,
2025-01-13,153.5,155.0,152.73,154.8,3441837.0,
2025-01-14,156.585,159.9157,155.61,159.33,3512273.0,
2025-01-15,166.45,167.88,163.67,164.85,3852721.0,
2025-01-16,165.635,166.4676,164.4,165.92,4209098.0,
2025-01-17,167.5,169.02,166.01,166.99,3580392.0,
2025-01-21,168.96,171.93,168.3765,169.24,4107928.0,
2025-01-22,170.0,171.32,167.7,168.9,3202041.0,
2025-01-23,168.2,173.49,168.19,169.75,3264956.0,
2025-01-24,169.59,172.26,169.256,172.06,2410637.0,
2025-01-27,168.57,169.25,163.9,167.26,3299388.0,
2025-01-28,168.04,170.7,165.44,169.31,3672339.0,
2025-01-29,169.135,172.19,168.6,171.1,2735545.0,
2025-01-30,172.84,173.39,168.88,171.76,2644714.0,
2025-01-31,172.635,174.91,170.615,170.98,2452071.0,
2025-02-03,166.23,169.495,165.23,167.12,3257348.0,
2025-02-04,164.02,169.33,161.06,162.59,5539383.0,
2025-02-05,161.17,166.17,160.38,165.75,2844819.0,
2025-02-06,167.7,168.2492,163.21,164.88,2181301.0,
2025-02-07,165.7025,167.15,163.11,163.45,2484794.0,
2025-02-10,164.35,164.76,160.79,162.17,2165697.0,
2025-02-11,160.5,160.545,156.88,158.08,3786954.0,
2025-02-12,155.22,157.98,152.8,157.44,4266280.0,
2025-02-13,158.1,159.8859,156.9,157.92,2442215.0,
2025-02-14,158.31,163.15,157.59,162.81,2665839.0,
2025-02-18,163.5,164.22,160.685,162.06,2503314.0,
2025-02-19,160.5,161.17,159.12,160.27,3035460.0,
2025-02-20,160.0,160.2,154.33,156.79,3566995.0,
2025-02-21,156.59,157.445,148.6,150.55,3731602.0,
2025-02-24,151.63,152.66,146.44,147.87,4379324.0,
2025-02-25,148.9,148.9,141.2,145.3,5772813.0,
2025-02-26,146.49,150.91,146.1525,147.65,2782046.0,
2025-02-27,150.12,151.7377,147.13,147.44,3539199.0,
2025-02-28,146.25,149.34,145.01,149.27,4825946.0,
2025-03-03,150.85,151.8,143.51,144.58,3410190.0,
2025-03-04,140.42,141.77,134.19,137.92,5490201.0,
2025-03-05,138.27,141.47,135.69,140.53,4254217.0,
