Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,60.0,60.41,58.89,59.35,3587432,
2025-01-13,59.61,60.84,59.2,60.61,3621452,
2025-01-14,60.97,61.51,60.66,61.47,2191935,
2025-01-15,62.95,63.06,60.26,60.89,3864723,
2025-01-16,61.08,61.79,60.65,61.33,2853956,
2025-01-17,61.93,62.09,61.01,61.16,2919695,
2025-01-21,61.28,61.97,60.68,61.79,2347629,
2025-01-22,65.13,65.56,62.72,62.73,5607840,
2025-01-23,63.075,64.65,62.95,63.92,3456317,
2025-01-24,64.07,64.3012,62.95,63.43,3022503,
2025-01-27,64.11,64.31,63.14,64.17,3603606,
2025-01-28,64.16,64.32,62.34,62.8,3486745,
2025-01-29,62.855,63.09,62.28,62.68,2194276,
2025-01-30,63.255,64.05,62.56,62.91,3086821,
2025-01-31,62.865,63.76,61.62,62.42,4076334,
2025-02-03,57.35,61.12,56.22,60.68,6101099,
2025-02-04,61.25,62.3609,60.67,61.4,3130661,
2025-02-05,61.365,61.8,60.8,61.27,2926995,
2025-02-06,64.98,65.76,63.02,63.48,7232922,
2025-02-07,65.0,65.79,63.1,64.1,3824663,
2025-02-10,65.23,65.23,63.34,63.98,2843078,
2025-02-11,63.655,65.11,63.655,64.66,2244967,
2025-02-12,64.17,65.95,63.91,65.45,2590896,
2025-02-13,65.9,66.87,65.8,66.41,2452329,
2025-02-14,67.12,67.4,66.085,67.0,2121451,
2025-02-18,67.385,67.385,66.09,66.88,2894885,
2025-02-19,67.16,67.5,66.32,66.66,1828138,
2025-02-20,66.8,67.97,66.7637,67.62,2617322,
2025-02-21,67.79,68.176,66.245,66.68,3237289,
2025-02-24,67.34,67.66,66.47,66.79,3000573,
2025-02-25,67.115,67.605,65.9601,66.65,3556470,
2025-02-26,66.52,66.93,65.78,66.22,2907294,
2025-02-27,65.55,66.77,65.11,65.32,3045337,
2025-02-28,64.66,65.71,64.29,65.12,5230125,
2025-03-03,65.35,66.675,63.02,64.01,3956627,
2025-03-04,62.91,63.665,61.85,62.8,5651463,
2025-03-05,64.275,65.6,63.97,65.09,4128382,
2025-03-06,64.5,65.73,64.39,65.14,3260978,
2025-03-07,65.335,67.205,65.1,66.83,4262743,
2025-03-10,65.36,66.54,64.03,64.34,4225614,
2025-03-11,64.47,65.2,62.89,63.19,4421182,
2025-03-12,63.95,64.4,62.42,63.76,3046871,
2025-03-13,63.13,64.205,62.06,62.17,3970595,
2025-03-14,63.0,63.63,62.79,63.23,3780484,
2025-03-17,62.64,64.0,62.37,62.65,4347590,
2025-03-18,62.885,63.15,62.33,62.82,3146266,
2025-03-19,63.15,63.36,62.28,62.73,3604084,
2025-03-20,62.22,62.92,62.2,62.48,2683651,
2025-03-21,61.72,62.6,61.09,62.45,9010797,
2025-03-24,62.8,63.98,62.49,63.91,3766195,
2025-03-25,64.6,64.71,63.805,64.49,2078531,
2025-03-26,64.42,65.83,64.27,65.8,3373270,
2025-03-27,63.2747,63.9,61.64,62.25,6747876,
2025-03-28,62.085,62.58,60.2,60.59,4530858,
