Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,179.43,180.025,174.87,175.04,942894.0,
2025-01-13,172.525,176.5,171.47,175.49,934422.0,
2025-01-14,176.87,180.38,176.06,179.17,791129.0,
2025-01-15,184.8476,185.49,182.24,184.5,786994.0,
2025-01-16,186.3,190.15,185.06,187.9,971300.0,
2025-01-17,189.475,192.01,188.53,191.32,721773.0,
2025-01-21,192.13,195.23,191.56,194.72,984461.0,
2025-01-22,195.1,196.76,192.23,193.81,1157343.0,
2025-01-23,195.8,196.35,194.46,195.9,925453.0,
2025-01-24,195.11,197.53,195.08,197.32,780321.0,
2025-01-27,192.61,192.94,187.58,189.98,735430.0,
2025-01-28,191.44,194.16,188.855,193.6,723016.0,
2025-01-29,190.6333,196.5979,190.6333,193.42,766231.0,
2025-01-30,195.51,199.04,195.32,198.08,1247606.0,
2025-01-31,198.9,199.94,197.74,198.22,1139669.0,
2025-02-03,192.98,198.75,192.05,196.52,1095023.0,
2025-02-04,198.83,200.485,192.41,195.36,1964664.0,
2025-02-05,181.16,192.3999,181.16,189.65,2501847.0,
2025-02-06,188.32,191.82,186.3,191.67,1619649.0,
2025-02-07,191.83,194.268,189.5,190.34,1163477.0,
2025-02-10,191.4,191.4,187.33,189.98,790305.0,
2025-02-11,187.98,188.24,183.48,186.37,798771.0,
2025-02-12,183.92,185.22,182.6,182.81,761429.0,
2025-02-13,183.9,185.05,182.3,184.39,981283.0,
2025-02-14,183.92,187.04,183.92,186.18,784886.0,
2025-02-18,187.76,189.25,186.07,187.67,999080.0,
2025-02-19,186.16,187.75,183.7,186.74,1331595.0,
2025-02-20,185.59,187.29,176.29,179.69,1383222.0,
2025-02-21,181.035,181.035,172.65,174.09,1125436.0,
2025-02-24,174.11,174.765,168.365,168.91,1866623.0,
2025-02-25,168.9,169.785,163.385,167.36,1911551.0,
2025-02-26,167.52,172.05,167.5,168.97,1076685.0,
2025-02-27,170.01,171.69,166.3,167.12,1228521.0,
2025-02-28,167.285,171.0,165.22,170.94,2118628.0,
2025-03-03,174.665,175.65,168.09,169.76,2140251.0,
2025-03-04,164.65,165.94,156.44,160.99,2907950.0,
2025-03-05,160.88,163.0,157.765,163.0,1701401.0,
2025-03-06,159.68,160.63,152.44,153.37,2113082.0,
2025-03-07,153.685,156.16,147.62,154.96,3354244.0,
2025-03-10,147.46,148.61,139.4401,141.24,3161018.0,
2025-03-11,141.95,145.99,139.82,143.01,2545525.0,
2025-03-12,148.08,149.68,142.79,145.93,1735462.0,
2025-03-13,146.78,146.78,138.27,140.19,1894329.0,
2025-03-14,143.305,145.78,142.0,144.36,1565829.0,
2025-03-17,143.015,148.21,142.53,147.11,1481718.0,
2025-03-18,146.95,147.225,142.85,144.02,1292289.0,
2025-03-19,145.4,149.19,142.73,147.61,1637969.0,
2025-03-20,146.59,149.2626,146.0,147.34,993127.0,
2025-03-21,145.845,149.045,144.48,147.71,1749571.0,
2025-03-24,151.34,154.12,150.55,153.75,1724915.0,
2025-03-25,154.42,156.052,151.5,155.63,3835846.0,
2025-03-26,155.99,156.4,152.02,153.28,2110418.0,
2025-03-27,152.745,152.745,144.95,148.4,1921868.0,
2025-03-28,147.97,148.67,142.69,144.9,1654290.0,
2025-03-31,141.99,147.3,139.54,146.61,2009812.0,
2025-04-01,146.79,149.93,144.77,149.44,2170713.0,
2025-04-02,147.0,154.85,146.02,154.5,2113570.0,
2025-04-03,145.83,145.83,129.685,130.59,3035358.0,
2025-04-04,121.6,124.19,113.235,118.04,7645287.0,
2025-04-07,113.67,128.0,110.6301,124.73,6475236.0,
2025-04-08,131.325,134.5,120.69,123.21,4718977.0,
2025-04-09,121.175,143.93,118.82,142.37,4616518.0,
2025-04-10,136.88,139.09,130.7,135.77,3935064.0,
2025-04-11,133.74,138.73,130.18,137.74,3184539.0,
2025-04-14,143.5291,143.5291,136.265,138.38,2297830.0,
