Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,95.875,96.5561,94.57,94.99,1780587.0,
2025-01-13,94.99,97.8,94.345,97.67,1656064.0,
2025-01-14,97.69,98.49,97.48,97.81,967667.0,
2025-01-15,100.56,100.77,97.7998,98.43,920941.0,
2025-01-16,98.5,100.36,98.09,100.09,1020259.0,
2025-01-17,100.425,102.74,99.985,101.79,1085203.0,
2025-01-21,102.41,103.49,102.18,102.81,1164852.0,
2025-01-22,101.85,102.15,100.56,100.63,646596.0,
2025-01-23,100.74,101.1,99.105,100.45,1284003.0,
2025-01-24,100.1186,102.18,100.1186,101.63,859440.0,
2025-01-27,103.18,104.44,101.63,102.11,2659296.0,
2025-01-28,101.5,101.675,96.06,97.25,2388778.0,
2025-01-29,98.27,98.66,95.45,95.79,1585724.0,
2025-01-30,96.86,98.41,95.02,95.85,1560611.0,
2025-01-31,95.445,98.04,95.13,97.35,4073349.0,
2025-02-03,96.41,96.81,94.36,94.58,1217549.0,
2025-02-04,94.585,94.97,93.8,94.47,983243.0,
2025-02-05,95.38,97.33,94.41,97.02,1057046.0,
2025-02-06,97.83,97.88,96.04,96.62,899885.0,
2025-02-07,96.75,96.865,95.11,95.96,848195.0,
2025-02-10,96.362,96.362,94.74,95.51,1334107.0,
2025-02-11,94.9,95.53,94.69,94.96,1265006.0,
2025-02-12,93.5,95.32,93.25,95.23,1252963.0,
2025-02-13,95.71,95.85,94.91,95.82,860939.0,
2025-02-14,96.25,97.74,94.81,94.85,684501.0,
2025-02-18,94.55,96.0,94.54,95.78,1335867.0,
2025-02-19,95.345,95.91,94.8,95.31,1127906.0,
2025-02-20,95.3,96.092,94.94,95.52,1285646.0,
2025-02-21,95.8,96.06,94.815,95.57,1101349.0,
2025-02-24,96.0,97.59,95.0,97.18,1025674.0,
2025-02-25,97.6,101.57,97.5,100.93,1743605.0,
2025-02-26,101.0,101.005,98.95,99.08,883133.0,
2025-02-27,99.15,101.79,99.07,100.94,986467.0,
2025-02-28,101.26,102.55,100.215,102.26,1910240.0,
2025-03-03,102.55,103.49,100.865,101.5,1177156.0,
2025-03-04,101.605,102.035,99.67,100.49,1216636.0,
2025-03-05,99.945,102.36,99.2967,102.19,994689.0,
2025-03-06,101.23,101.49,98.56,99.8,1083223.0,
2025-03-07,100.69,103.17,100.0,102.49,1016865.0,
2025-03-10,102.87,105.14,101.69,102.17,1412016.0,
2025-03-11,102.555,102.73,98.8,99.27,1174585.0,
2025-03-12,99.09,99.75,97.76,98.52,1060539.0,
2025-03-13,98.93,100.29,96.49,96.65,1042211.0,
2025-03-14,97.91,99.35,96.59,99.16,816841.0,
2025-03-17,99.58,101.215,99.17,99.52,1044198.0,
2025-03-18,99.42,99.585,97.63,98.39,1066101.0,
2025-03-19,98.36,98.72,96.73,97.69,1488466.0,
2025-03-20,97.8,98.216,96.66,96.98,1086985.0,
2025-03-21,96.5,97.09,95.41,96.27,2205906.0,
2025-03-24,96.86,98.27,96.4,97.55,856254.0,
2025-03-25,97.35,97.4399,95.06,95.98,1029097.0,
2025-03-26,96.7,97.67,95.5,96.13,886562.0,
2025-03-27,96.65,97.535,95.4112,95.71,902693.0,
2025-03-28,96.265,96.56,94.85,95.6,887452.0,
2025-03-31,94.39,94.84,91.15,92.51,2126736.0,
2025-04-01,93.28,93.54,90.07,91.15,1610475.0,
2025-04-02,90.85,92.87,90.09,92.33,1305409.0,
2025-04-03,90.8,91.466,86.0,86.25,1790727.0,
2025-04-04,84.785,84.785,81.2,81.28,2673981.0,
2025-04-07,78.66,82.71,76.5,77.81,3552000.0,
2025-04-08,80.585,81.32,75.7,76.94,3033706.0,
2025-04-09,75.0,81.435,71.57,80.82,4108902.0,
2025-04-10,80.2,80.2,73.435,74.57,2975121.0,
2025-04-11,74.765,76.94,73.45,76.92,2667542.0,
2025-04-14,78.15,80.374,77.58,79.7,2157659.0,
2025-04-15,79.42,80.455,78.89,79.12,1286852.0,
2025-04-16,79.2442,79.7282,76.43,77.12,1554520.0,
2025-04-17,77.755,78.8071,77.29,77.84,1628010.0,
2025-04-21,76.6126,76.7879,74.46,75.73,1663726.0,
2025-04-22,77.12,77.88,75.53,76.26,1449960.0,
2025-04-23,78.74,80.05,76.4432,76.97,1462283.0,
2025-04-24,77.345,77.7599,76.51,77.26,1115085.0,
2025-04-25,77.555,77.555,75.1,75.88,1220449.0,
2025-04-28,76.13,77.22,75.585,76.98,1680514.0,
2025-04-29,75.07,75.5,71.63,72.57,3466778.0,
2025-04-30,71.64,72.94,70.57,72.66,2479522.0,
2025-05-01,73.0,74.27,71.9495,73.42,1671696.0,
2025-05-02,74.795,75.52,73.89,74.47,1389067.0,
2025-05-05,74.5249,74.5249,73.17,73.54,1809260.0,
2025-05-06,73.04,73.4288,71.51,71.57,1686757.0,
2025-05-07,71.58,72.57,71.35,71.89,1831303.0,
2025-05-08,72.28,74.72,71.84,73.69,1791146.0,
2025-05-09,74.115,74.62,73.48,74.07,1349727.0,
2025-05-12,76.24,76.75,73.06,74.23,2399044.0,
2025-05-13,74.945,75.46,71.73,72.4,2025636.0,
2025-05-14,72.135,72.25,70.15,70.99,2692086.0,
2025-05-15,71.0,71.595,70.2,71.56,1848861.0,
2025-05-16,71.68,72.88,71.28,72.85,1599478.0,
2025-05-19,72.0,74.39,71.6,74.05,1899308.0,
2025-05-20,73.475,73.77,72.11,72.18,1481204.0,
2025-05-21,71.1533,71.81,68.53,68.57,1870951.0,
2025-05-22,68.61,69.0299,67.485,68.61,1624071.0,
