Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,138.56,138.94,136.77,137.04,779826.0,
2025-01-13,137.245,138.52,136.64,138.26,785227.0,
2025-01-14,139.0099,141.25,138.6241,140.72,1050005.0,
2025-01-15,142.465,142.72,140.4193,141.08,1223851.0,
2025-01-16,141.0,144.99,140.98,144.94,673871.0,
2025-01-17,144.49,145.98,144.49,145.37,1045950.0,
2025-01-21,146.23,147.7,145.35,145.46,1251912.0,
2025-01-22,144.66,145.51,141.5071,141.69,818196.0,
2025-01-23,142.595,142.99,139.03,139.56,1247338.0,
2025-01-24,138.77,140.07,138.77,139.51,898319.0,
2025-01-27,140.63,142.91,138.9,142.84,1116252.0,
2025-01-28,141.76,142.6199,140.56,141.46,683108.0,
2025-01-29,141.38,142.435,140.66,141.03,802187.0,
2025-01-30,142.24,143.21,141.67,142.71,654255.0,
2025-01-31,142.14,143.03,141.34,142.51,1240839.0,
2025-02-03,142.37,143.78,140.69,143.4,831144.0,
2025-02-04,141.82,143.15,141.5718,142.4,1060784.0,
2025-02-05,143.65,146.43,142.94,145.06,1298981.0,
2025-02-06,144.61,145.13,142.3615,143.12,857115.0,
2025-02-07,143.12,143.83,142.01,142.5,660083.0,
2025-02-10,142.985,143.17,140.8501,142.28,835951.0,
2025-02-11,142.26,145.14,141.5214,145.07,578158.0,
2025-02-12,143.655,146.39,143.075,146.34,897415.0,
2025-02-13,146.34,148.21,145.92,147.98,1148165.0,
2025-02-14,147.98,148.84,146.46,146.51,745598.0,
2025-02-18,145.65,148.65,145.61,148.06,987708.0,
2025-02-19,147.84,149.25,147.35,148.6,808281.0,
2025-02-20,147.09,148.51,146.25,147.62,602325.0,
2025-02-21,147.67,150.26,147.5249,149.9,1057686.0,
2025-02-24,150.61,151.37,148.93,150.24,1036810.0,
2025-02-25,149.0,151.03,149.0,150.39,936144.0,
2025-02-26,149.62,150.63,149.0,149.99,816744.0,
2025-02-27,149.46,150.85,148.69,149.64,962385.0,
2025-02-28,151.5,152.35,150.3301,152.13,1071730.0,
2025-03-03,152.25,154.04,151.695,153.63,790779.0,
2025-03-04,153.79,154.5473,149.305,149.75,1069733.0,
2025-03-05,148.655,149.6754,147.69,148.15,724105.0,
2025-03-06,147.855,148.04,145.164,146.35,1089947.0,
2025-03-07,146.395,149.4,146.09,148.6,1315556.0,
2025-03-10,148.63,152.985,147.91,149.92,926698.0,
2025-03-11,150.0,150.306,148.1078,148.66,1017582.0,
2025-03-12,148.175,148.25,146.25,147.16,644411.0,
2025-03-13,146.9,148.53,146.21,147.03,811100.0,
2025-03-14,147.0005,150.33,146.655,149.89,795675.0,
2025-03-17,149.975,152.44,149.795,151.48,936377.0,
2025-03-18,150.56,151.145,149.47,150.56,645440.0,
2025-03-19,150.7033,151.1,149.37,150.75,702389.0,
2025-03-20,151.11,151.39,149.87,150.82,1062275.0,
2025-03-21,150.54,152.0399,147.9,148.63,1938428.0,
2025-03-24,148.455,150.515,148.0,149.64,694286.0,
2025-03-25,149.32,149.63,147.32,148.34,875833.0,
2025-03-26,148.81,150.83,148.2,150.16,633995.0,
2025-03-27,150.97,151.95,150.28,150.94,661578.0,
2025-03-28,152.0,153.4,151.6,152.46,858334.0,
2025-03-31,153.88,155.26,153.23,154.58,1116279.0,
2025-04-01,154.44,155.27,152.99,154.94,770863.0,
2025-04-02,154.61,155.62,153.6,155.21,718622.0,
2025-04-03,155.59,157.62,155.07,155.29,1159139.0,
2025-04-04,155.615,155.995,147.0706,147.81,1431819.0,
2025-04-07,145.2,149.16,141.59,145.06,2060803.0,
2025-04-08,147.735,150.365,145.4346,146.85,1874934.0,
2025-04-09,145.695,150.93,142.535,148.89,1471644.0,
2025-04-10,148.0,151.775,146.285,149.29,1170489.0,
2025-04-11,147.57,152.4563,147.33,151.48,926195.0,
2025-04-14,151.715,155.79,151.31,154.98,1002317.0,
2025-04-15,155.37,157.53,154.84,156.27,1439371.0,
2025-04-16,156.48,157.75,155.3893,156.31,1481883.0,
2025-04-17,157.33,159.2,156.3,157.54,904424.0,
2025-04-21,156.925,156.925,154.425,156.54,1765686.0,
2025-04-22,157.51,161.49,157.51,160.11,1602305.0,
2025-04-23,160.62,161.47,157.88,159.59,1790298.0,
2025-04-24,159.03,160.06,158.168,159.67,1498236.0,
2025-04-25,159.03,159.66,157.01,158.14,1245883.0,
2025-04-28,157.375,158.825,156.16,158.73,1147661.0,
2025-04-29,158.42,160.08,157.89,159.69,650893.0,
2025-04-30,159.45,161.05,156.63,160.63,1640203.0,
2025-05-01,160.74,161.67,159.165,160.18,1219529.0,
2025-05-02,161.27,161.649,159.66,161.5,662995.0,
2025-05-05,160.7,161.54,159.35,161.4,1107513.0,
2025-05-06,161.85,162.895,161.19,161.96,1042685.0,
2025-05-07,161.59,163.47,161.22,162.66,1332374.0,
2025-05-08,165.92,167.45,160.83,161.25,1841888.0,
2025-05-09,161.595,161.645,157.81,159.86,1106962.0,
2025-05-12,159.935,159.935,153.825,155.23,1275037.0,
2025-05-13,155.69,155.9,153.45,153.66,1000978.0,
2025-05-14,153.485,153.64,150.0,152.25,1504704.0,
2025-05-15,153.09,156.03,152.43,155.97,1088658.0,
2025-05-16,155.91,157.68,154.96,157.68,1206220.0,
2025-05-19,158.19,160.0,157.08,159.98,1226895.0,
2025-05-20,160.3,160.3,158.7901,159.1,1075269.0,
2025-05-21,158.855,158.94,156.665,156.96,1127432.0,
2025-05-22,156.894,156.894,154.14,155.29,1135036.0,
2025-05-23,155.66,157.52,154.8,157.28,984685.0,
2025-05-27,157.18,157.27,155.68,156.49,911566.0,
2025-05-28,156.055,156.51,153.5,153.72,1050938.0,
2025-05-29,152.63,154.5,152.105,154.34,743517.0,
2025-05-30,154.175,155.405,153.62,154.68,3090022.0,
2025-06-02,153.92,154.89,153.23,154.64,935342.0,
2025-06-03,155.27,155.3,153.065,154.61,1259237.0,
2025-06-04,154.58,154.58,152.04,152.15,901470.0,
2025-06-05,152.77,152.85,151.46,152.35,867219.0,
2025-06-06,152.97,153.58,151.3,152.18,624502.0,
2025-06-09,151.755,152.8,150.72,151.97,791808.0,
2025-06-10,152.355,153.285,151.415,152.98,871505.0,
2025-06-11,152.94,153.48,152.43,152.47,919391.0,
2025-06-12,153.27,154.59,152.59,154.49,783856.0,
2025-06-13,154.405,154.5466,152.53,152.99,646228.0,
2025-06-16,153.45,154.17,151.38,152.04,738301.0,
2025-06-17,152.04,152.51,150.675,152.3,510995.0,
2025-06-18,152.5,153.2031,152.14,152.39,501025.0,
2025-06-20,152.47,154.16,152.32,153.56,1558322.0,
2025-06-23,155.0,156.825,154.51,156.37,820084.0,
2025-06-24,156.16,157.1041,155.69,156.44,746451.0,
2025-06-25,155.6,155.79,152.72,152.73,672709.0,
2025-06-26,153.015,153.91,152.135,152.92,573290.0,
2025-06-27,152.6,153.98,152.37,152.49,1551588.0,
2025-06-30,152.72,154.19,152.07,154.11,810237.0,
2025-07-01,154.17,155.78,152.87,153.65,980324.0,
2025-07-02,153.13,153.67,149.975,151.51,808784.0,
2025-07-03,150.99,152.81,150.625,152.28,412875.0,
2025-07-07,152.32,153.36,152.13,152.79,637968.0,
2025-07-08,151.765,152.585,150.51,151.99,721900.0,
2025-07-09,152.02,153.44,151.28,153.1,680316.0,
2025-07-10,152.44,154.73,152.15,154.37,531124.0,
2025-07-11,153.74,155.045,152.89,154.19,436931.0,
2025-07-14,154.325,156.61,154.11,155.4,733412.0,
2025-07-15,155.12,155.17,152.79706,154.1,530748.0,
2025-07-16,154.225,155.18,153.84,154.83,631079.0,
2025-07-17,155.055,155.94,153.94,155.27,488276.0,
2025-07-18,155.66,157.47,155.6,156.66,751424.0,
2025-07-21,157.1,159.105,156.66,158.22,753412.0,
2025-07-22,158.61,160.58,158.49,158.78,495519.0,
2025-07-23,158.78,159.4,156.46,157.09,509051.0,
2025-07-24,157.925,158.55,157.08,157.71,451127.0,
2025-07-25,157.495,158.015,156.12,156.84,533688.0,
2025-07-28,156.585,156.585,154.23,154.68,734529.0,
2025-07-29,154.81,156.53,154.53,156.11,614337.0,
2025-07-30,156.25,157.54,155.75,156.2,656360.0,
2025-07-31,155.87,156.8699,154.55,155.92,1166475.0,
2025-08-01,156.425,157.49,154.62,155.81,829964.0,
2025-08-04,155.885,159.76,155.885,159.45,1092910.0,
2025-08-05,158.925,160.0,156.44,156.63,863205.0,
2025-08-06,156.775,158.57,155.56,157.02,1409932.0,
2025-08-07,160.99,166.43,160.905,162.72,2039508.0,
2025-08-08,162.73,166.37,162.73,164.29,1416091.0,
2025-08-11,164.54,165.155,163.33,165.04,1306459.0,
2025-08-12,165.105,165.9495,163.7,165.72,1006972.0,
2025-08-13,164.8169,166.99,164.51,166.98,861360.0,
2025-08-14,166.08,167.4405,165.69,166.13,658400.0,
2025-08-15,165.92,166.66,164.855,165.37,968655.0,
2025-08-18,165.1,165.35,163.815,164.02,869993.0,
2025-08-19,164.035,165.88,163.77,165.81,669658.0,
2025-08-20,166.145,167.85,165.57,166.09,766230.0,
2025-08-21,165.635,167.15,165.615,166.79,514517.0,
2025-08-22,167.18,168.86,167.16,168.21,719985.0,
