Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,121.67,122.83,120.92,121.12,1308987.0,
2025-01-13,121.56,121.87,118.74,121.01,1548135.0,
2025-01-14,121.445,122.735,121.04,122.52,773461.0,
2025-01-15,124.21,125.03,122.66,123.53,1279097.0,
2025-01-16,123.24,126.4,122.8,126.36,970627.0,
2025-01-17,126.35,127.44,125.84,126.6,1003495.0,
2025-01-21,127.13,128.39,126.0,126.33,1036068.0,
2025-01-22,126.16,126.8,121.5,121.68,1289387.0,
2025-01-23,121.16,121.9,120.63,121.81,1202112.0,
2025-01-24,121.5,122.43,121.3,121.63,786354.0,
2025-01-27,122.72,130.215,122.585,129.95,2271488.0,
2025-01-28,128.495,128.79,125.7,126.33,1417875.0,
2025-01-29,126.24,127.05,123.47,124.25,890534.0,
2025-01-30,125.11,125.99,122.89,123.66,1646160.0,
2025-01-31,124.13,124.96,123.325,124.64,1073086.0,
2025-02-03,124.4,126.45,123.495,125.76,1112011.0,
2025-02-04,124.87,124.92,123.26,123.85,1353846.0,
2025-02-05,124.73,125.0,123.1,123.61,889688.0,
2025-02-06,123.76,124.22,123.06,123.98,794710.0,
2025-02-07,122.85,123.465,121.9,122.49,776187.0,
2025-02-10,122.31,123.35,121.395,123.11,828764.0,
2025-02-11,122.71,125.25,122.19,125.08,1230797.0,
2025-02-12,123.935,125.32,122.97,125.02,1541186.0,
2025-02-13,124.47,126.91,124.47,126.87,3304626.0,
2025-02-14,127.0,127.455,125.04,125.66,1698820.0,
2025-02-18,124.6,127.49,124.46,127.17,1345830.0,
2025-02-19,127.5,128.2,126.46,127.86,1805870.0,
2025-02-20,129.0,131.81,126.61,128.67,1831613.0,
2025-02-21,128.45,133.82,128.165,132.68,2116815.0,
2025-02-24,133.325,135.19,130.575,133.59,1789197.0,
2025-02-25,133.78,138.73,133.05,137.25,2203953.0,
2025-02-26,136.5,137.85,134.0,135.06,1188733.0,
2025-02-27,133.62,136.18,133.17,134.02,1179958.0,
2025-02-28,135.6,137.56,134.56,135.97,2339981.0,
2025-03-03,135.25,139.64,135.1,139.57,1192640.0,
2025-03-04,139.67,142.095,138.7,139.2,2385942.0,
2025-03-05,138.54,140.3,137.26,137.82,1468597.0,
2025-03-06,138.26,138.94,135.25,138.18,1441629.0,
2025-03-07,138.9,145.985,138.61,145.4,2702907.0,
2025-03-10,146.03,152.07,145.79,149.31,3047547.0,
2025-03-11,149.03,149.03,143.26,143.43,1772227.0,
2025-03-12,142.73,142.73,138.92,140.86,1919522.0,
2025-03-13,141.05,143.58,140.06,142.54,1598843.0,
2025-03-14,142.405,144.72,141.72,144.32,1386781.0,
2025-03-17,143.805,146.77,143.01,144.82,1645866.0,
2025-03-18,143.51,145.66,143.45,144.75,1182211.0,
2025-03-19,143.46,144.225,141.195,142.05,1548621.0,
2025-03-20,142.51,142.82,140.755,141.81,1387288.0,
2025-03-21,141.98,143.7513,139.98,141.13,2607230.0,
2025-03-24,140.46,142.0399,139.41,139.7,1093089.0,
2025-03-25,139.765,140.48,136.94,139.16,1729405.0,
2025-03-26,139.46,141.665,139.28,141.13,1329839.0,
2025-03-27,141.85,144.1978,141.405,143.06,1346459.0,
2025-03-28,144.255,147.31,144.18,146.24,1596786.0,
2025-03-31,146.965,149.99,146.86,147.52,1863683.0,
2025-04-01,147.315,147.72,145.84,147.0,1186376.0,
2025-04-02,147.25,147.5032,145.4544,146.19,982697.0,
2025-04-03,148.92,154.055,148.74,151.96,2764871.0,
2025-04-04,155.0,155.5,146.26,147.23,3275454.0,
2025-04-07,145.06,147.54,141.97,142.36,3007658.0,
2025-04-08,143.54,144.39,139.2,140.87,2723921.0,
2025-04-09,139.99,145.325,137.405,139.0,2990910.0,
2025-04-10,139.08,144.59,138.49,143.15,1984517.0,
2025-04-11,143.56,146.79,142.06,146.09,1549082.0,
2025-04-14,145.61,149.44,145.32,148.83,1091116.0,
2025-04-15,148.4,149.66,146.72,146.88,1471330.0,
2025-04-16,148.2,148.52,146.155,146.4,1124573.0,
2025-04-17,146.625,149.55,146.03,148.4,946071.0,
2025-04-21,148.57,148.965,145.83,147.13,838336.0,
2025-04-22,148.72,149.75,147.15,149.26,1071444.0,
2025-04-23,147.71,147.795,144.58,147.17,1510822.0,
2025-04-24,147.2,147.35,145.19,146.04,1209512.0,
2025-04-25,145.325,145.325,141.91,143.97,1342069.0,
2025-04-28,143.96,145.16,142.31,144.27,1408986.0,
2025-04-29,143.755,146.32,143.755,145.86,1205518.0,
2025-04-30,146.99,147.47,144.255,147.01,1421336.0,
2025-05-01,145.3,147.555,144.4,146.43,1255471.0,
2025-05-02,147.21,147.68,145.39,147.11,1115860.0,
2025-05-05,147.95,148.56,145.87,148.15,841823.0,
2025-05-06,148.415,150.51,148.15,149.2,1124228.0,
2025-05-07,149.15,150.29,148.05,148.08,1041151.0,
2025-05-08,147.66,148.33,145.13,145.4,1182448.0,
2025-05-09,145.41,147.08,144.47,146.94,724566.0,
2025-05-12,144.0,145.49,137.86,138.64,2412499.0,
2025-05-13,137.62,138.06,133.29,133.84,2330840.0,
2025-05-14,133.92,134.35,131.65,133.82,1994445.0,
2025-05-15,134.92,140.48,134.79,140.37,2529224.0,
2025-05-16,140.715,143.32,140.35,142.56,1495102.0,
2025-05-19,142.53,143.77,141.9025,143.71,956662.0,
2025-05-20,142.84,144.29,142.18,143.82,1119056.0,
2025-05-21,144.34,144.65,142.75,143.48,1699361.0,
2025-05-22,142.9,143.52,140.67,141.85,1163377.0,
2025-05-23,142.695,143.905,141.4,143.61,740331.0,
2025-05-27,143.7,144.1594,142.765,143.14,1093099.0,
2025-05-28,142.78,142.965,140.43,140.87,920100.0,
2025-05-29,140.28,141.985,139.695,141.54,1097052.0,
2025-05-30,141.86,143.68,140.815,142.97,3771555.0,
2025-06-02,142.0,143.16,140.92,142.42,791390.0,
2025-06-03,141.805,142.24,140.12,141.86,1097096.0,
2025-06-04,141.375,141.76,138.81,138.84,1436611.0,
2025-06-05,139.42,140.42,138.525,140.02,793566.0,
2025-06-06,140.005,141.44,139.41,140.05,719118.0,
2025-06-09,139.3,140.29,137.4,139.81,895037.0,
2025-06-10,139.845,142.17,139.41,141.27,924162.0,
2025-06-11,141.72,142.09,140.19,140.61,826938.0,
2025-06-12,141.62,141.72,140.17,141.32,709613.0,
2025-06-13,141.725,143.16,141.14,141.44,741151.0,
2025-06-16,142.85,142.85,139.68,140.47,1126026.0,
2025-06-17,140.51,141.13,138.38,140.92,1196400.0,
