Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-01-10,118.18,118.71,114.4501,116.04,59415614,,,,,
2025-01-13,115.28,117.48,114.41,117.32,39128897,,,,,
2025-01-14,118.0,118.66,114.5,116.09,37005279,,,,,
2025-01-15,117.55,120.42,117.46,119.96,38185819,,,,,
2025-01-16,120.265,121.09,118.25,118.44,29414126,,,,,
2025-01-17,120.78,122.74,120.55,121.46,35765924,,,,,
2025-01-21,122.39,123.75,121.1201,122.28,31578832,,,,,
2025-01-22,123.08,125.65,121.912,123.75,35023842,,,,,
2025-01-23,121.425,123.71,120.63,123.04,24921108,,120.03,,,
2025-01-24,124.55,125.25,122.23,122.84,31570300,,120.03,,,
2025-01-27,117.8,118.08,112.8,115.01,61067888,,119.225,,,
2025-01-28,115.175,116.15,112.95,114.17,40554760,,119.225,,,
2025-01-29,115.77,118.52,114.96,117.35,40199052,,119.225,,,
2025-01-30,118.53,120.44,117.09,118.86,29788383,,119.225,,,
2025-01-31,119.14,119.565,115.33,115.95,40533565,58.10856137753352,119.225,,,
2025-02-03,113.875,115.16,112.98,114.27,34586051,54.43384023494159,119.225,,,
2025-02-04,115.45,119.85,114.79,119.5,69412094,62.404544654340704,119.025,,,
2025-02-05,107.61,112.09,106.5,112.01,110609343,49.14572570325546,115.875,,,
2025-02-06,110.93,112.56,109.02,110.16,50426590,46.51683017041575,113.47,,,
2025-02-07,109.13,109.92,106.79,107.56,46082499,43.03286251097658,113.47,,,
2025-02-10,108.44,111.4,108.15,110.48,34905359,47.7646246898525,113.47,,,
2025-02-11,108.98,113.07,108.94,111.1,35033759,48.738235932275636,113.47,,,
2025-02-12,109.52,111.8356,109.0649,111.72,25319729,49.74694975376886,113.175,,,
2025-02-13,112.0,114.6,110.4,111.81,40911804,49.90106245876055,113.175,,,
2025-02-14,112.65,114.63,111.7,113.1,32477159,52.16544420490778,113.175,,,
2025-02-18,114.05,115.55,113.45,114.28,31720307,54.20446316530031,111.025,116.075,,
2025-02-19,114.245,116.11,113.14,114.69,28807709,54.92344312795368,111.45,116.075,,
2025-02-20,115.01,116.55,113.105,114.17,27219565,53.77041164841987,111.67,116.075,,
2025-02-21,114.845,115.76,110.43,110.84,41353683,46.97007741755883,112.35,116.075,,
2025-02-24,111.49,111.6,107.98,108.12,29072208,42.267822921708785,112.265,116.075,,
2025-02-25,107.885,108.64,103.62,103.96,39169161,36.28482328315945,110.08500000000001,114.635,,
2025-02-26,104.945,105.7999,103.99,104.74,29178213,38.05533561896998,110.08500000000001,114.635,,
2025-02-27,105.08,105.76,99.5,99.51,47263727,31.695505475453032,108.025,112.575,,
2025-02-28,99.56,101.8,98.69,99.86,45194576,32.50839357284244,107.62,111.97,,
2025-03-03,101.515,102.34,97.09,98.23,38957988,30.677330551396196,106.82,111.17,,
2025-03-04,96.0,103.18,95.89,100.75,54156941,36.62095166246047,106.22,108.16499999999999,,
2025-03-05,100.36,101.84,98.87,101.67,27855488,38.68773599942619,105.825,108.16499999999999,,
2025-03-06,99.05,101.08,98.27,98.85,28984978,34.9279079308417,103.745,108.16499999999999,,
2025-03-07,98.88,100.65,96.39,100.31,33254367,38.27263612728268,102.265,108.16499999999999,,
2025-03-10,98.57,101.29,95.83,96.63,38733186,33.58654207238192,100.81495,107.84,,
2025-03-11,96.79,98.1599,94.73,96.76,34078300,33.89446403939428,100.245,107.28999999999999,,
2025-03-12,99.045,101.715,98.17,100.79,34241287,42.75515059344754,98.95500000000001,107.28999999999999,,
2025-03-13,99.715,100.07,97.27,98.11,28575150,39.010388360562956,98.95500000000001,105.64,,
2025-03-14,99.64,101.22,99.58,100.97,24715265,44.58808499313837,98.95500000000001,105.64,,
2025-03-17,102.6,106.15,102.6,104.59,43689523,50.73006290413036,100.44,105.64,,
2025-03-18,103.85,104.55,102.97,103.51,27152827,48.98555480403316,100.44,105.64,,
2025-03-19,104.42,107.9,101.96,106.23,32287496,53.33770171461901,101.315,105.64,,
2025-03-20,105.12,108.26,105.12,107.14,26871839,54.729209463410506,101.495,105.64,,
2025-03-21,105.33,107.25,104.33,106.44,30767938,53.409793502282525,101.495,105.64,,
2025-03-24,109.73,114.85,109.4,113.85,53342002,63.453848099925445,106.06,105.64,,
2025-03-25,113.265,114.95,112.71,114.81,29077507,64.520993479009,106.11,105.64,,
2025-03-26,114.11,115.8999,108.68,110.19,39976485,56.04019070465855,107.73995,105.64,113.55000000000001,
2025-03-27,106.11,107.62,105.5499,106.65,32773714,50.55666019767953,108.92994999999999,105.64,113.7625,
2025-03-28,105.525,106.51,102.48,103.22,31069114,45.87292206205868,108.92994999999999,105.31495000000001,113.8725,
2025-03-31,100.235,102.82,98.8,102.74,30865342,45.24126584052408,107.34995,105.31495000000001,114.2125,
2025-04-01,102.16,102.83,100.93,102.78,23523230,45.308849992034006,107.34995,105.31495000000001,114.17,
2025-04-02,101.52,104.185,100.76,102.96,20793989,45.63402402075606,107.34995,105.31495000000001,112.36000000000001,
2025-04-03,97.79,99.4499,93.64,93.8,50472542,34.418912580119894,104.76995,104.76995,112.36000000000001,
2025-04-04,90.1,91.08,83.67,85.76,65847021,27.93049590432193,99.78495000000001,99.78495000000001,110.30000000000001,
2025-04-07,80.68,89.0,77.75,83.64,70515429,26.511316262104614,96.82495,96.82495,109.795,
2025-04-08,86.145,88.93,76.48,78.21,69910233,23.25238708720488,92.05000000000001,96.18995000000001,108.995,
2025-04-09,79.22,97.91,78.87,96.84,97827352,47.22326195103949,91.495,96.18995000000001,107.1925,
2025-04-10,91.0,92.95,85.06,88.7,65210565,41.172349219708394,90.33250000000001,96.18995000000001,106.995,
2025-04-11,90.51,94.76,90.5,93.4,57892600,45.51356558738877,90.33250000000001,96.18995000000001,105.955,
2025-04-14,97.11,97.3699,93.45,94.5,36002970,46.50849946194341,90.33250000000001,96.18995000000001,105.215,
2025-04-15,94.66,96.85,94.62,95.29,28116536,47.2534356893376,87.96495,96.18995000000001,104.32747499999999,
2025-04-16,87.61,90.47,85.295,88.29,62109016,41.71055066772509,87.195,96.18995000000001,103.7675,
2025-04-17,88.84,89.03,86.515,87.5,34801437,41.12425823122945,87.195,96.18995000000001,103.1225,
2025-04-21,86.015,86.14,83.75,85.56,33855392,39.6503360241347,87.195,96.18995000000001,102.29750000000001,
2025-04-22,86.12,87.17,85.17,86.26,35236735,40.479280893202315,88.39,96.18995000000001,102.29750000000001,
2025-04-23,91.875,93.74,90.12,90.39,41102589,45.25695413692646,90.55995,96.18995000000001,103.03999999999999,
2025-04-24,91.59,94.75,90.37,94.47,33681919,49.564038458052124,90.55995,96.18995000000001,103.03999999999999,
2025-04-25,93.275,97.1,92.85,96.645,28575343,51.7437151569377,90.55995,96.18995000000001,103.47749999999999,
2025-04-28,95.575,97.4865,94.27,96.39,30456683,51.46290573006514,90.61825,96.18995000000001,103.5675,
2025-04-29,95.755,97.1767,95.33,96.06,20700637,51.07659704395534,90.61825,96.18995000000001,103.5675,
2025-04-30,92.81,97.55,91.87,97.35,29730729,52.57526538293076,90.65,96.18995000000001,105.85,
2025-05-01,99.265,100.1,96.45,96.65,29591507,51.6506571851087,91.925,96.18995000000001,105.875,
2025-05-02,98.4,99.88,98.3,98.8,29957888,54.30854332999246,92.63499999999999,92.05000000000001,106.689975,110.19
2025-05-05,99.0,102.05,98.76,100.59,41268886,56.454817351353014,96.08500000000001,91.495,107.284975,110.19
2025-05-06,98.41,100.07,97.44,98.62,54264254,53.47753888862315,96.21000000000001,90.33250000000001,107.12245,110.19
2025-05-07,100.75,103.42,96.88,100.36,86648749,55.699784189590936,97.64500000000001,90.33250000000001,106.33245000000001,110.19
2025-05-08,101.92,105.44,101.56,101.7,54231362,57.38790092959771,98.655,90.96000000000001,106.33245000000001,110.19
2025-05-09,102.585,103.54,101.6,102.84,31704261,58.82541019383235,98.655,90.96000000000001,106.33245000000001,110.19
2025-05-12,110.415,110.667,106.98,108.12,50543396,64.75575202161536,101.2685,93.5735,104.76995,109.64500000000001
2025-05-13,109.6,113.1277,109.0,112.46,55659513,68.74108681224673,104.78885,94.80385000000001,99.78495000000001,104.66
2025-05-14,119.83,122.52,116.59,117.72,86743700,72.76125606126334,109.69999999999999,99.5,96.82495,101.5
2025-05-15,117.02,117.5,114.01,114.99,43843235,67.88165338338298,109.69999999999999,100.695,94.11997500000001,100.86500000000001
2025-05-16,118.07,118.24,116.01,117.17,43419695,69.6329717290991,109.69999999999999,103.13499999999999,93.84247500000001,98.46000000000001
2025-05-19,115.015,115.53,114.06,114.74,37737373,65.35511751826769,109.69999999999999,103.13499999999999,93.26122500000001,98.46000000000001
2025-05-20,114.35,114.51,112.08,113.51,29030815,63.23739741719283,112.03999999999999,103.13499999999999,93.26122500000001,98.46000000000001
2025-05-21,113.85,116.1,111.09,112.06,43594606,60.73876433627119,112.06,103.13499999999999,93.26122500000001,98.46000000000001
2025-05-22,111.9,112.64,110.61,110.71,29251957,58.424187365667464,114.75,103.13499999999999,92.07745,98.16499999999999
2025-05-23,108.085,111.015,107.6671,110.31,30867274,57.722311521719945,115.09355,103.13499999999999,91.692475,98.16499999999999
2025-05-27,113.175,115.395,112.27,114.56,37885019,62.83154497095945,115.09355,103.13499999999999,91.692475,98.16499999999999
2025-05-28,114.915,114.948,112.66,112.86,27483741,59.722498895837056,112.95355,103.845,91.692475,96.515
2025-05-29,115.485,115.54,112.13,113.03,30572131,59.93599427126578,112.95355,106.32,92.289975,96.515
2025-05-30,111.584,112.11,108.6154,110.73,36088472,55.63896240604318,111.88355,106.445,93.37495000000001,96.515
2025-06-02,111.06,114.86,111.01,114.63,34078358,60.774342009543055,111.88355,107.195,93.37495000000001,96.515
2025-06-03,114.5,117.68,113.28,117.31,37161484,63.86961078483307,112.67355,107.195,93.37495000000001,96.515
2025-06-04,117.41,119.295,115.73,118.58,31024986,65.26825837411766,113.48105000000001,107.195,93.4041,96.515
2025-06-05,118.95,119.2448,114.71,115.69,34182902,59.61296440499722,113.48105000000001,107.195,93.4041,96.515
2025-06-06,117.685,118.38,115.88,116.19,27042083,60.25461225598215,113.95519999999999,109.485,93.41997500000001,96.515
2025-06-09,119.18,122.3699,119.04,121.73,55437652,66.58855912103509,115.49265,109.69999999999999,94.05747500000001,96.515
2025-06-10,121.105,124.09,120.8,123.24,41691908,68.08162941973436,116.3527,110.485,92.3425,96.515
2025-06-11,124.44,124.47,119.88,121.14,32261863,63.81085488137827,116.5427,110.675,93.79,96.515
2025-06-12,120.615,122.25,118.03,118.5,44718365,58.81580250827239,117.74000000000001,110.675,93.27125000000001,96.18995000000001
2025-06-13,116.045,117.883,115.06,116.16,39702742,54.72658294938919,118.875,113.015,93.98875000000001,96.18995000000001
2025-06-16,118.635,128.1393,117.78,126.39,100968478,65.89146091163578,121.42464999999999,114.86965,94.8075,96.18995000000001
2025-06-17,127.93,130.7,126.58,127.1,86623910,66.50877911536875,122.70499999999998,118.84,94.8075,96.18995000000001
2025-06-18,128.01,129.21,125.77,126.79,49627112,65.94755965316571,122.88,119.18355,97.42099999999999,96.18995000000001
2025-06-20,129.0,132.805,127.55,128.24,79930980,67.3359597688355,123.9325,120.23605,99.79635,96.18995000000001
