Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-01-10,68.5,68.88,67.2,67.58,1343716.0,,,,,
2025-01-13,67.55,68.78,67.38,68.63,1039823.0,,,,,
2025-01-14,69.5,71.35,69.42,71.25,1716815.0,,,,,
2025-01-15,72.465,73.0899,70.895,70.95,1702448.0,,,,,
2025-01-16,70.91,71.47,70.68,71.4,969125.0,,,,,
2025-01-17,71.715,72.27,71.28,71.81,1285711.0,,,,,
2025-01-21,72.58,73.16,72.29,72.69,973682.0,,,,,
2025-01-22,71.885,72.035,70.36,70.97,1701535.0,,,,,
2025-01-23,71.23,71.85,70.29,71.27,1932605.0,,70.18,,,
2025-01-24,71.12,71.34,70.4,70.57,1458460.0,,70.27,,,
2025-01-27,71.2,71.835,70.68,71.43,1112217.0,,71.28999999999999,,,
2025-01-28,71.89,71.89,69.58,69.87,1397019.0,,71.37,,,
2025-01-29,69.84,69.865,68.84,69.22,1513081.0,,71.0,,,
2025-01-30,66.51,67.655,65.53,67.31,3225289.0,,69.345,,,
2025-01-31,67.545,68.82,66.75,67.3,2674660.0,61.69728592629084,69.345,,,
2025-02-03,66.95,67.58,65.575,67.04,2475428.0,60.45820815749337,68.7825,,,
2025-02-04,67.205,67.7625,65.65,65.66,2227072.0,54.2325798078206,68.71000000000001,,,
2025-02-05,65.88,66.15,64.94,65.64,1508427.0,54.14555835115484,68.41499999999999,,,
2025-02-06,65.87,66.1,65.44,65.51,1238957.0,53.54414082630287,68.41499999999999,,,
2025-02-07,65.655,66.25,65.05,65.16,1263832.0,51.87355560549584,68.41499999999999,,,
2025-02-10,65.5,66.01,65.0,65.73,972684.0,54.37041831265023,67.4025,,,
2025-02-11,66.03,66.065,65.375,65.97,769513.0,55.419187536027145,66.88,,,
2025-02-12,64.84,65.68,64.5501,65.25,863835.0,51.58837226428311,66.68504999999999,,,
2025-02-13,65.24,66.095,65.24,66.0,1350170.0,55.07222223150231,66.1563,,,
2025-02-14,66.07,67.065,65.92,66.22,1719948.0,56.07086128959191,66.1563,,,
2025-02-18,66.36,66.71,65.55,65.72,1488225.0,53.177810431413896,65.80754999999999,68.85505,,
2025-02-19,65.0425,67.64,65.0425,67.36,2437678.0,60.39583322107658,66.09505,68.85505,,
2025-02-20,67.18,67.77,66.65,66.79,1275150.0,57.101053803965854,66.16005,68.85505,,
2025-02-21,67.44,67.44,65.615,65.98,1097764.0,52.70123299206721,66.16005,68.85505,,
2025-02-24,65.95,66.65,65.21,66.23,926844.0,53.882362689145,66.16005,68.85505,,
2025-02-25,66.495,67.58,66.44,66.99,1316636.0,57.36769988356607,66.16005,68.85505,,
2025-02-26,67.01,67.445,66.1,66.16,1091078.0,52.68482577010144,66.40625,68.85505,,
2025-02-27,66.06,66.7,65.56,65.94,795054.0,51.48517048246837,66.40625,68.29255,,
2025-02-28,65.85,66.99,65.6301,66.48,1386881.0,54.239509281123226,66.40625,68.22005,,
2025-03-03,66.985,67.29,66.1,66.38,1633719.0,53.632269868289626,66.40625,68.22005,,
2025-03-04,65.64,66.75,65.13,65.61,1652505.0,49.07619845721828,66.44999999999999,68.22005,,
2025-03-05,66.015,67.0,65.635,66.5,1473104.0,53.94604465168805,66.35499999999999,68.22005,,
