feature,importance
sma_50,0.0035419891624352525
macd_hist,0.003497371703443919
macd_signal,0.0028215152808419896
close_over_sma_100,0.0024382330394042175
volatility_10,0.0019269776169987373
body,0.0016506057038780096
return_5,0.0015522003448632262
close_over_sma_10,0.0015481537858334144
asset_AEE,0.0009431781065087589
asset_ADM,0.0009207047614293209
close_over_ema_26,0.0008908916281561569
asset_APO,0.0008059451097653922
sma_200,0.0005765700388080733
asset_ABT,0.000570904791807586
close_over_sma_20,0.000561633308421565
asset_AEP,0.0005358386500323775
asset_AMT,0.00047019759083543613
asset_AES,0.0004219335254633111
asset_MMM,0.00037929505881257735
asset_ACN,0.00034767534146513404
asset_APD,0.00027937359858848517
asset_AWK,0.00023552975212870892
asset_AIG,0.0002349384030538762
asset_AJG,0.00020352752368813924
asset_ARE,0.00019708555703004947
asset_LNT,0.00012004295441105511
asset_GOOGL,9.307474596735032e-05
asset_AMZN,2.3627862501379714e-05
bb_lower,1.313263962193778e-05
asset_APH,1.22543108256698e-05
asset_AFL,2.6777996693025385e-06
asset_ABBV,1.4148735319852169e-06
return_1,0.0
bb_mid,0.0
asset_ADBE,-9.74342710785836e-06
asset_AIZ,-2.1558644012723005e-05
asset_AMP,-2.6763480331343237e-05
asset_AON,-4.7455024615107586e-05
asset_AMAT,-9.027868642833975e-05
asset_ALL,-0.00012600096818663752
asset_APA,-0.00014575384813233505
asset_ADI,-0.00014734586219103258
asset_T,-0.00017215366650881746
bb_upper,-0.00017444725834565438
asset_ABNB,-0.00019841696570475909
close_over_ema_12,-0.0002017182096620815
asset_GOOG,-0.00020190730663241925
asset_AMCR,-0.00022432037803761794
asset_AKAM,-0.00025021302638106454
asset_ALLE,-0.0002869420210061771
asset_MO,-0.0002972657431357884
asset_A,-0.0003472041406311369
asset_AMD,-0.0003658020804889792
asset_ACGL,-0.00038159644493869493
asset_AMGN,-0.00044650426447990084
asset_ANET,-0.000490961175256209
asset_AME,-0.0004916201210324669
asset_ARES,-0.0005295580197569455
asset_AAPL,-0.000578268013000191
ema_26,-0.0006384885551711572
asset_APTV,-0.0006513935391338821
volume_sma_20,-0.0006801434512262062
asset_AOS,-0.0007201405705404742
close_over_sma_50,-0.0007313269087240407
asset_AXP,-0.0007526895274018258
upper_wick,-0.0007687222197403975
close_over_sma_200,-0.0008358124525817412
asset_ATO,-0.0008486904539306214
sma_20,-0.0010374780044902568
body_abs,-0.0011226232076758213
asset_APP,-0.0011661541310151722
asset_ALB,-0.0013266976255767878
body_to_range,-0.001577030107244247
volatility_20,-0.001666034600513007
volume_over_sma_20,-0.0017448402755471035
sma_10,-0.0017810106215146546
lower_wick,-0.0021681058423459647
macd,-0.0021694047299685134
log_return_1,-0.0022045824191275474
range,-0.002266094921080428
bb_width,-0.0025333312378174057
ema_12,-0.002601745827625658
bb_pos,-0.002842818743708471
volume,-0.003539916845373983
close,-0.004777618678188991
sma_100,-0.0066285344348137945
