Date,Open,High,Low,Close,Volume
2025-07-14,2973.25,3081.76,2964.59,3014.59,48232.60517518
2025-07-15,3014.29,3144.09,2935.0,3140.01,45854.02613509
2025-07-16,3140.01,3423.0,3101.92,3372.67,52537.04504199
2025-07-17,3372.46,3524.0,3312.11,3479.33,60830.26089768
2025-07-18,3479.34,3675.93,3461.76,3549.05,69989.80709475
2025-07-19,3549.18,3609.01,3512.07,3596.18,12575.8898475
2025-07-20,3596.18,3822.85,3581.4,3760.07,42201.77821032
2025-07-21,3759.0,3859.67,3706.71,3764.17,42037.6390746
2025-07-22,3764.17,3800.0,3618.0,3749.04,45507.00439243
2025-07-23,3749.04,3765.91,3530.0,3629.0,52061.58452841
2025-07-24,3629.0,3773.86,3515.0,3706.09,44719.16823416
2025-07-25,3709.34,3745.0,3575.0,3725.52,28434.19767673
2025-07-26,3725.52,3793.2,3701.31,3742.2,14354.99607502
2025-07-27,3742.45,3878.86,3732.49,3875.0,15864.4542278
2025-07-28,3875.01,3939.3,3755.33,3797.08,31592.83688576
2025-07-29,3798.36,3885.48,3716.23,3792.87,28769.35921188
2025-07-30,3792.86,3831.5,3663.75,3806.85,25998.77571475
2025-07-31,3808.01,3877.25,3685.49,3698.08,32435.26236521
2025-08-01,3697.68,3722.99,3429.88,3485.96,57910.06943977
2025-08-02,3485.96,3536.0,3369.0,3392.97,33364.78385669
2025-08-03,3392.97,3518.23,3350.0,3496.8,18341.30157739
2025-08-04,3496.95,3736.1,3490.84,3719.99,36905.20713242
2025-08-05,3720.0,3720.0,3544.32,3611.38,58255.79486687
2025-08-06,3611.38,3698.6,3565.35,3683.56,25721.15483636
2025-08-07,3683.56,3927.5,3650.36,3912.74,50916.50482268
2025-08-08,3912.75,4070.0,3880.42,4008.37,78958.7836631
2025-08-09,4008.37,4323.41,4008.0,4262.91,57341.33857955
2025-08-10,4262.91,4329.93,4161.83,4251.61,56525.261058
2025-08-11,4251.62,4362.74,4168.3,4225.0,62555.98522514
2025-08-12,4225.01,4634.45,4221.44,4590.0,74155.29673329
2025-08-13,4590.01,4782.99,4565.31,4750.83,80090.90291867
2025-08-14,4750.83,4790.39,4446.98,4549.29,91899.43327771
2025-08-15,4549.3,4669.23,4368.45,4443.2,52885.57152723
2025-08-16,4443.2,4491.81,4374.88,4424.21,22809.93090601
2025-08-17,4423.99,4581.39,4400.0,4472.99,19422.38550301
2025-08-18,4472.99,4482.35,4228.77,4312.56,47317.32654038
2025-08-19,4312.56,4353.36,4067.32,4074.66,53618.70862734
2025-08-20,4074.64,4378.12,4065.0,4334.99,54336.99414559
2025-08-21,4335.0,4337.29,4205.0,4223.73,25886.95038826
2025-08-22,4224.57,4889.93,4207.02,4830.0,119591.52706168
2025-08-23,4830.01,4830.53,4659.21,4776.69,37064.65115903
2025-08-24,4776.67,4956.01,4710.0,4779.18,56659.31072111
2025-08-25,4779.81,4796.28,4335.28,4377.69,69124.74799836
2025-08-26,4377.59,4633.0,4310.0,4600.83,48504.99152468
2025-08-27,4601.11,4661.12,4480.15,4506.04,42494.71089709
2025-08-28,4506.12,4629.55,4430.0,4512.18,31189.68398612
2025-08-29,4512.13,4513.98,4265.0,4359.78,42283.10155559
2025-08-30,4360.76,4413.53,4261.15,4374.39,14195.08019999
2025-08-31,4374.39,4497.84,4374.38,4391.93,24949.71122985
2025-09-01,4392.91,4491.18,4213.21,4314.38,30777.72273799
2025-09-02,4314.55,4416.48,4258.4,4325.58,35363.59751947
2025-09-03,4326.88,4488.63,4285.92,4450.0,44006.54067604
2025-09-04,4450.0,4480.0,4269.0,4299.15,26427.24561653
2025-09-05,4299.15,4491.84,4256.47,4307.02,42318.26958483
2025-09-06,4307.69,4328.95,4233.14,4274.96,10750.98319083
2025-09-07,4274.96,4335.74,4270.02,4305.19,9710.56009947
2025-09-08,4305.19,4383.22,4280.0,4307.5,22526.89162831
2025-09-09,4306.85,4387.48,4268.83,4308.23,18285.2311497
2025-09-10,4308.23,4450.0,4286.62,4349.81,38559.64417855
2025-09-11,4350.27,4479.62,4341.39,4462.85,38122.54532015
2025-09-12,4462.85,4750.0,4453.59,4716.93,44737.37449077
2025-09-13,4716.93,4765.45,4610.0,4666.17,21391.2119141
2025-09-14,4666.17,4692.31,4581.0,4608.76,19067.21647891
2025-09-15,4608.77,4670.13,4467.79,4527.02,20497.93123278
2025-09-16,4527.03,4536.9,4416.7,4504.6,27190.62670602
2025-09-17,4504.6,4641.8,4429.17,4592.34,42363.37888803
2025-09-18,4592.21,4644.29,4555.45,4589.52,21422.29410136
2025-09-19,4589.52,4620.0,4441.03,4471.11,14558.03552665
2025-09-20,4471.12,4508.31,4460.0,4481.59,8786.63728483
2025-09-21,4481.59,4500.58,4444.59,4447.0,16208.45729364
2025-09-22,4447.01,4456.92,4000.0,4203.07,61164.06654304
2025-09-23,4203.07,4234.65,4117.81,4165.01,26096.35733319
2025-09-24,4165.01,4275.48,4075.0,4154.62,36881.01867094
2025-09-25,4154.42,4161.74,3825.2,3872.63,56697.8339456
2025-09-26,3872.63,4070.64,3871.69,4035.39,36427.48319993
2025-09-27,4035.39,4040.4,3974.04,4019.11,6643.06393079
2025-09-28,4019.64,4150.26,3965.78,4145.33,25503.59737578
