run,decision,promotion_score,reliability_score,stress_sharpe_bps20,ml_quality_score,n_principle_flags,rel_gap,stress_gap,mlq_gap,uplift_distance
bt_crypto_5y_SOL-USD_rf_wv_dwt_db4,candidate,0.4758280725756505,0.730539636487019,0.9870836334372002,0.0,0,0.0,0.0,0.35,0.0875
bt_eurusd_sweep_EURUSD=X_hgb_baseline,reject,0.4716136464305432,0.5847520844191695,5.508691542153914,0.0,0,0.0,0.0,0.35,0.0875
bt_eurusd_sweep_EURUSD=X_mlp_baseline,reject,0.4716136464305432,0.5847520844191695,5.508691542153914,0.0,0,0.0,0.0,0.35,0.0875
bt_eurusd_sweep_EURUSD=X_hgb_stops,reject,0.4660177896431342,0.574577799351153,3.2173101728989235,0.0,0,0.0,0.0,0.35,0.0875
bt_eurusd_sweep_EURUSD=X_mlp_stops,reject,0.4660177896431342,0.574577799351153,3.2173101728989235,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_hgb_wv_dwt_db6,reject,0.3723457396219678,0.5305199244702359,1.0741304155111746,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_hgb_wv_dwt_db4,reject,0.3709061241907336,0.6253040663999198,0.3598518356103703,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_mlp_wv_dwt_db4,reject,0.3632906446570466,0.5956184142461405,0.4760068909555913,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_proba_hmm_wavelet,reject,0.346817519420467,0.5515101273665639,0.5798259915847578,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_mlp_wv_dwt_db4,reject,0.3443844126159379,0.5355234621591602,0.6646201123786636,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_hgb_wv_dwt_db8_ar5,reject,0.3419005714796824,0.514551004234683,0.7853002553414234,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_rf_wv_cwt_ricker,reject,0.321214722028566,0.5109770792148296,0.5356977128054623,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_rf_wv_cwt_ricker_ar5,reject,0.3205423559946684,0.5071271446278536,0.5549656859913189,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_mlp_wv_dwt_db6,reject,0.3153133716026221,0.516293180751142,0.4180282958599191,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_fft,reject,0.3093591329870053,0.4874875514752128,0.5498797290085101,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_voltarget,reject,0.3093591329870053,0.4874875514752128,0.5498797290085101,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_wv_cwt_morlet,reject,0.3093591329870053,0.4874875514752128,0.5498797290085101,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_wv_cwt_morlet_ar5,reject,0.3093591329870053,0.4874875514752128,0.5498797290085101,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_hgb_wv_cwt_morlet_ar5,reject,0.3071009750007122,0.4841792334160203,0.54403195495868,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_hmm,reject,0.3047600310214053,0.4764953336794843,0.5691679666358532,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_wv_dwt_db8_ar5,reject,0.3038649000996729,0.5218944086154883,0.2243063381487236,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_rf_wv_cwt_morlet_ar5,reject,0.3029820576188251,0.4973211084544464,0.3927393062517282,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_hgb_wv_cwt_morlet,reject,0.3003898048858524,0.4765346384319152,0.5106100499773202,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_rf_proba_hmm_fft,reject,0.2998586478318543,0.4704503607007303,0.5481459926193678,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_rf_wv_cwt_morlet,reject,0.2975682932722447,0.4909052637134468,0.3676053097313197,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_SOL-USD_mlp_wv_dwt_db8_ar5,reject,0.2940397600708885,0.4967790342169818,0.2774838833539797,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_rf_fft,reject,0.2862912311052075,0.4778718149480898,0.3128231051167753,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_rf_voltarget,reject,0.2862912311052075,0.4778718149480898,0.3128231051167753,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_hgb_fft,reject,0.2829901169839941,0.4513156300807091,0.463553605861388,0.0,0,0.0,0.0,0.35,0.0875
bt_crypto_5y_ETH-USD_hgb_voltarget,reject,0.2829901169839941,0.4513156300807091,0.463553605861388,0.0,0,0.0,0.0,0.35,0.0875
