min_reliability,min_stress_sharpe,min_ml_quality,promotes,candidates,rejects,near_promote_avg_ml_gap,objective
0.45,0.2,0.35,0,30,266,0.34999999999999987,41.5
0.45,0.2,0.4,0,30,266,0.40000000000000013,41.0
0.45,0.2,0.45,0,30,266,0.4499999999999999,40.5
0.45,0.2,0.5,0,30,266,0.5,40.0
0.45,0.2,0.55,0,30,266,0.5500000000000002,39.5
0.45,0.3,0.35,0,28,268,0.3499999999999999,38.5
0.45,0.3,0.4,0,28,268,0.4000000000000001,38.0
0.45,0.3,0.45,0,28,268,0.4499999999999999,37.5
0.45,0.3,0.5,0,28,268,0.5,37.0
0.45,0.3,0.55,0,28,268,0.5500000000000002,36.5
0.45,0.4,0.35,0,23,273,0.34999999999999987,31.0
0.45,0.4,0.4,0,23,273,0.40000000000000013,30.5
0.45,0.4,0.45,0,23,273,0.44999999999999984,30.0
0.45,0.4,0.5,0,23,273,0.5,29.5
0.45,0.4,0.55,0,23,273,0.5500000000000003,28.999999999999996
0.45,0.5,0.35,0,19,277,0.3499999999999999,25.0
0.45,0.5,0.4,0,19,277,0.4000000000000001,24.5
0.45,0.5,0.45,0,19,277,0.44999999999999996,24.0
0.45,0.5,0.5,0,19,277,0.5,23.5
0.45,0.5,0.55,0,19,277,0.5500000000000002,23.0
0.5,0.2,0.35,0,15,281,0.3499999999999999,19.0
0.5,0.2,0.4,0,15,281,0.40000000000000013,18.5
0.5,0.2,0.45,0,15,281,0.45000000000000007,18.0
0.5,0.2,0.5,0,15,281,0.5,17.5
0.5,0.3,0.35,0,14,282,0.35,17.5
0.5,0.2,0.55,0,15,281,0.55,17.0
0.5,0.3,0.4,0,14,282,0.4000000000000001,17.0
0.5,0.3,0.45,0,14,282,0.45000000000000007,16.5
0.5,0.3,0.5,0,14,282,0.5,16.0
0.5,0.4,0.35,0,13,283,0.35,16.0
0.5,0.3,0.55,0,14,282,0.5499999999999999,15.5
0.5,0.4,0.4,0,13,283,0.4000000000000001,15.5
0.5,0.4,0.45,0,13,283,0.45000000000000007,15.0
0.5,0.4,0.5,0,13,283,0.5,14.5
0.5,0.4,0.55,0,13,283,0.5499999999999999,14.0
0.5,0.5,0.35,0,11,285,0.35000000000000003,13.0
0.5,0.5,0.4,0,11,285,0.4,12.5
0.5,0.5,0.45,0,11,285,0.45,12.0
0.5,0.5,0.5,0,11,285,0.5,11.5
0.5,0.5,0.55,0,11,285,0.5499999999999999,11.0
0.55,0.2,0.35,0,8,288,0.35,8.5
0.55,0.3,0.35,0,8,288,0.35,8.5
0.55,0.2,0.4,0,8,288,0.4,8.0
0.55,0.3,0.4,0,8,288,0.4,8.0
0.55,0.2,0.45,0,8,288,0.45,7.5
0.55,0.3,0.45,0,8,288,0.45,7.5
0.55,0.3,0.5,0,8,288,0.5,7.0
0.55,0.2,0.5,0,8,288,0.5,7.0
0.55,0.4,0.35,0,7,289,0.35000000000000003,7.0
0.55,0.3,0.55,0,8,288,0.55,6.5
0.55,0.2,0.55,0,8,288,0.55,6.5
0.55,0.4,0.4,0,7,289,0.39999999999999997,6.5
0.55,0.4,0.45,0,7,289,0.45000000000000007,5.999999999999999
0.55,0.4,0.5,0,7,289,0.5,5.5
0.55,0.5,0.35,0,6,290,0.35000000000000003,5.5
0.55,0.4,0.55,0,7,289,0.5499999999999999,5.000000000000001
0.55,0.5,0.4,0,6,290,0.39999999999999997,5.0
0.55,0.5,0.45,0,6,290,0.45,4.5
0.55,0.5,0.5,0,6,290,0.5,4.0
0.55,0.5,0.55,0,6,290,0.5499999999999999,3.500000000000001
0.6,0.3,0.35,0,2,294,0.35,-0.5
0.6,0.2,0.35,0,2,294,0.35,-0.5
0.6,0.2,0.4,0,2,294,0.4,-1.0
0.6,0.3,0.4,0,2,294,0.4,-1.0
0.6,0.2,0.45,0,2,294,0.45,-1.5
0.6,0.3,0.45,0,2,294,0.45,-1.5
0.6,0.2,0.5,0,2,294,0.5,-2.0
0.6,0.3,0.5,0,2,294,0.5,-2.0
0.6,0.4,0.35,0,1,295,0.35,-2.0
0.6,0.5,0.35,0,1,295,0.35,-2.0
0.6,0.2,0.55,0,2,294,0.55,-2.5
0.6,0.3,0.55,0,2,294,0.55,-2.5
0.6,0.4,0.4,0,1,295,0.4,-2.5
0.6,0.5,0.4,0,1,295,0.4,-2.5
0.6,0.4,0.45,0,1,295,0.45,-3.0
0.6,0.5,0.45,0,1,295,0.45,-3.0
0.6,0.5,0.5,0,1,295,0.5,-3.5
0.6,0.4,0.5,0,1,295,0.5,-3.5
0.6,0.5,0.55,0,1,295,0.55,-4.0
0.6,0.4,0.55,0,1,295,0.55,-4.0
