feature,importance
close,0.06401863410747138
volatility_10,0.04029961121900569
return_5,0.030974781245939775
body_abs,0.030177807800081353
lower_wick,0.029377150684173885
body_to_range,0.028990615683501225
bb_upper,0.026811869150251882
ema_12,0.02579608123526501
log_return_1,0.022845366632798562
close_over_ema_12,0.02210239676471973
close_over_sma_20,0.021057822222804872
close_over_ema_26,0.019387864299078843
rsi14,0.019263723652154854
kijun,0.018565887332862786
bb_lower,0.014094821680711318
bb_pos,0.013088240472140477
sma_20,0.010920891445393542
volatility_20,0.010370552149486303
macd_hist,0.010275245581121811
body,0.009657544741958715
tenkan,0.009002031155983898
senkoua,0.00845617388187047
bb_width,0.004297512230048412
sma_10,0.0041769689682575484
macd_signal,0.0032747987558931413
sma_50,0.0031197520826162354
volume,0.002295447186554263
close_over_sma_10,0.0021922248307299887
upper_wick,0.0017842533113023528
close_over_sma_50,0.0015031850663561254
macd,0.0006359378790519871
bb_mid,0.0
asset_ETH-USD,0.0
asset_EURUSD=X,0.0
sma_100,0.0
senkoub,0.0
volume_sma_20,0.0
return_1,0.0
volume_over_sma_20,-0.0003826484089641966
close_over_sma_100,-0.001477161564880869
ema_26,-0.004294184145679633
range,-0.012334607220093372
