Date,Open,High,Low,Close,Volume
2025-12-17,210.035,211.5,197.53,198.11,31595409
2025-12-18,203.815,206.36,200.5001,201.06,29720136
2025-12-19,204.6,215.18,204.2001,213.43,58445450
2025-12-22,220.0,220.17,213.31,214.95,24950728
2025-12-23,212.855,217.03,212.28,214.9,20272288
2025-12-24,214.98,216.54,213.97,215.04,7956797
2025-12-26,215.43,216.83,213.03,214.99,15792558
2025-12-29,211.575,216.047,209.24,215.61,20326855
2025-12-30,215.865,216.82,214.33,215.34,16409566
2025-12-31,215.815,217.64,213.8,214.16,17591581
2026-01-02,218.9,227.15,218.895,223.47,36446169
2026-01-05,230.245,234.02,220.48,221.08,31941147
2026-01-06,222.71,222.92,211.25,214.35,40033208
2026-01-07,212.125,212.125,207.17,210.02,29715483
2026-01-08,210.9,210.94,203.33,204.68,27505031
2026-01-09,205.72,207.3,203.07,203.17,24217339
2026-01-12,201.18,209.88,199.8,207.69,27287274
2026-01-13,215.1,223.11,214.975,220.97,56894937
2026-01-14,217.54,224.09,215.11,223.6,40466520
2026-01-15,227.9,238.35,227.22,227.92,41145902
