Date,Open,High,Low,Close,Volume
2025-12-17,126.75,127.67,125.94,126.71,8049064.0
2025-12-18,126.575,127.575,124.93,125.12,5891883.0
2025-12-19,125.04,126.13,123.76,125.45,14795717.0
2025-12-22,125.085,127.24,124.77,125.2,5057974.0
2025-12-23,125.0,125.18,123.85,124.54,7534879.0
2025-12-24,124.09,125.3268,124.0,124.81,1632214.0
2025-12-26,124.99,125.185,124.26,124.84,2120811.0
2025-12-29,125.27,125.49,124.49,124.57,4469041.0
2025-12-30,124.425,126.2,124.36,125.78,5271167.0
2025-12-31,125.8,126.2413,125.24,125.29,3157254.0
2026-01-02,124.7,125.25,123.64,124.19,5014256.0
2026-01-05,123.63,126.56,122.5,126.45,6548712.0
2026-01-06,126.84,129.455,126.55,127.78,8327529.0
2026-01-07,128.45,128.6,126.27,127.04,6632314.0
2026-01-08,127.1,128.1,126.06,126.18,4344599.0
2026-01-09,126.42,127.14,125.23,125.92,4317611.0
2026-01-12,126.395,126.605,123.45,124.64,5524324.0
2026-01-13,124.485,124.67,122.2,124.3,5169800.0
2026-01-14,123.68,125.09,122.99,125.0,7187839.0
2026-01-15,124.225,124.42,123.0,123.53,5069821.0
