Date,Open,High,Low,Close,Volume
2025-12-17,67.885,68.79,67.18,68.08,1185752.0
2025-12-18,68.315,69.14,68.02,68.19,984701.0
2025-12-19,68.255,68.5,67.71,68.01,2287805.0
2025-12-22,67.815,68.51,67.74,68.11,883683.0
2025-12-23,68.14,68.3819,67.35,67.74,747639.0
2025-12-24,67.825,68.25,67.49,67.96,562131.0
2025-12-26,67.75,68.01,67.5,67.76,543236.0
2025-12-29,67.4248,68.13,67.4248,68.08,1059733.0
2025-12-30,68.0,68.245,67.63,67.74,695205.0
2025-12-31,67.685,67.745,66.8375,66.88,666922.0
2026-01-02,66.905,68.53,66.65,68.32,1318826.0
2026-01-05,68.11,69.0,67.66,68.51,1493709.0
2026-01-06,67.77,69.04,67.39,68.65,1065953.0
2026-01-07,68.67,69.0086,67.11,67.12,1110771.0
2026-01-08,67.025,70.815,66.69,70.4,1859414.0
2026-01-09,70.94,71.68,69.54,70.52,1478023.0
2026-01-12,69.86,71.61,69.86,71.01,1285213.0
2026-01-13,71.455,71.57,69.97,70.57,990854.0
2026-01-14,70.5,71.645,70.5,71.18,996096.0
2026-01-15,71.76,72.08,71.32,71.99,688761.0
