feature,importance
sma_10,0.03382523148148146
body,0.0222919101595572
ema_12,0.02165131471197646
ema_26,0.013247327631518781
bb_pos,0.007459554334554337
close_over_sma_50,0.007440476190476194
close_over_ema_26,0.006347298534798538
volatility_20,0.006188949938949941
macd_signal,0.003837097679009441
close_over_sma_20,0.0032528235653235676
log_return_1,0.0026349161459455596
range,0.0019621990210225418
volume_over_sma_20,0.0015472374847374853
close,0.0015472374847374853
bb_lower,0.0
bb_mid,0.0
bb_upper,0.0
close_over_ema_12,0.0
close_over_sma_10,0.0
sma_50,0.0
volume_sma_20,0.0
sma_100,0.0
macd_hist,0.0
return_1,0.0
bb_width,-0.0009546366623572472
close_over_sma_100,-0.0016407203907203884
volume,-0.0019116300366300342
sma_20,-0.002413844325609045
volatility_10,-0.004452614379084965
body_abs,-0.005021030848236723
body_to_range,-0.008847667855020808
macd,-0.010708791820924178
return_5,-0.015117560476016353
lower_wick,-0.02296043417366946
upper_wick,-0.027377146954352827
