feature,importance
close_over_sma_50,0.01404600301659125
lower_wick,0.008778751885369532
range,0.006543701396642572
ema_12,0.005267251131221719
close_over_ema_12,0.002232142857142857
sma_10,0.0017557503770739063
return_5,0.0016600433879845628
bb_lower,0.0
close_over_sma_20,0.0
body_to_range,0.0
body_abs,0.0
close_over_ema_26,0.0
bb_width,0.0
bb_mid,0.0
bb_pos,0.0
bb_upper,0.0
sma_50,0.0
return_1,0.0
close_over_sma_10,0.0
close_over_sma_100,0.0
macd_signal,0.0
macd_hist,0.0
macd,0.0
ema_26,0.0
volatility_20,0.0
volatility_10,0.0
sma_100,0.0
sma_20,0.0
close,-0.0009586002233061067
body,-0.0031936507120330655
upper_wick,-0.011291190427219839
log_return_1,-0.013212481962481964
